iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
SAU,Asia,Saudi Arabia,3/3/2020,1,1,0,0
SAU,Asia,Saudi Arabia,3/6/2020,5,4,0,0
SAU,Asia,Saudi Arabia,3/8/2020,7,2,0,0
SAU,Asia,Saudi Arabia,3/9/2020,11,4,0,0
SAU,Asia,Saudi Arabia,3/10/2020,15,4,0,0
SAU,Asia,Saudi Arabia,3/11/2020,20,5,0,0
SAU,Asia,Saudi Arabia,3/12/2020,45,25,0,0
SAU,Asia,Saudi Arabia,3/13/2020,62,17,0,0
SAU,Asia,Saudi Arabia,3/14/2020,86,24,0,0
SAU,Asia,Saudi Arabia,3/15/2020,86,0,0,0
SAU,Asia,Saudi Arabia,3/16/2020,118,32,0,0
SAU,Asia,Saudi Arabia,3/17/2020,133,15,0,0
SAU,Asia,Saudi Arabia,3/18/2020,133,0,0,0
SAU,Asia,Saudi Arabia,3/19/2020,171,38,0,0
SAU,Asia,Saudi Arabia,3/20/2020,238,67,0,0
SAU,Asia,Saudi Arabia,3/21/2020,274,36,0,0
SAU,Asia,Saudi Arabia,3/22/2020,392,118,0,0
SAU,Asia,Saudi Arabia,3/23/2020,511,119,0,0
SAU,Asia,Saudi Arabia,3/24/2020,562,51,0,0
SAU,Asia,Saudi Arabia,3/25/2020,767,205,1,1
SAU,Asia,Saudi Arabia,3/26/2020,900,133,2,1
SAU,Asia,Saudi Arabia,3/27/2020,1012,112,3,1
SAU,Asia,Saudi Arabia,3/28/2020,1104,92,3,0
SAU,Asia,Saudi Arabia,3/29/2020,1203,99,4,1
SAU,Asia,Saudi Arabia,3/30/2020,1229,26,8,4
SAU,Asia,Saudi Arabia,3/31/2020,1453,224,8,0
SAU,Asia,Saudi Arabia,4/1/2020,1563,110,10,2
SAU,Asia,Saudi Arabia,4/2/2020,1720,157,16,6
SAU,Asia,Saudi Arabia,4/3/2020,1885,165,21,5
SAU,Asia,Saudi Arabia,4/4/2020,1885,0,21,0
SAU,Asia,Saudi Arabia,4/5/2020,2179,294,29,8
SAU,Asia,Saudi Arabia,4/6/2020,2385,206,34,5
SAU,Asia,Saudi Arabia,4/7/2020,2523,138,38,4
SAU,Asia,Saudi Arabia,4/8/2020,2795,272,41,3
SAU,Asia,Saudi Arabia,4/9/2020,2932,137,41,0
SAU,Asia,Saudi Arabia,4/10/2020,3287,355,44,3
SAU,Asia,Saudi Arabia,4/11/2020,3651,364,47,3
SAU,Asia,Saudi Arabia,4/12/2020,4033,382,52,5
SAU,Asia,Saudi Arabia,4/13/2020,4462,429,59,7
SAU,Asia,Saudi Arabia,4/14/2020,4934,472,65,6
SAU,Asia,Saudi Arabia,4/15/2020,5369,435,73,8
SAU,Asia,Saudi Arabia,4/16/2020,5862,493,79,6
SAU,Asia,Saudi Arabia,4/17/2020,6380,518,83,4
SAU,Asia,Saudi Arabia,4/18/2020,7142,762,87,4
SAU,Asia,Saudi Arabia,4/19/2020,8274,1132,92,5
SAU,Asia,Saudi Arabia,4/20/2020,9362,1088,97,5
SAU,Asia,Saudi Arabia,4/21/2020,10484,1122,103,6
SAU,Asia,Saudi Arabia,4/22/2020,11631,1147,109,6
SAU,Asia,Saudi Arabia,4/23/2020,12772,1141,114,5
SAU,Asia,Saudi Arabia,4/24/2020,13930,1158,121,7
SAU,Asia,Saudi Arabia,4/25/2020,15102,1172,127,6
SAU,Asia,Saudi Arabia,4/26/2020,16299,1197,136,9
SAU,Asia,Saudi Arabia,4/27/2020,17522,1223,139,3
SAU,Asia,Saudi Arabia,4/28/2020,18811,1289,144,5
SAU,Asia,Saudi Arabia,4/29/2020,20077,1266,152,8
SAU,Asia,Saudi Arabia,4/30/2020,21402,1325,157,5
SAU,Asia,Saudi Arabia,5/1/2020,22753,1351,162,5
SAU,Asia,Saudi Arabia,5/2/2020,24097,1344,169,7
SAU,Asia,Saudi Arabia,5/3/2020,25459,1362,176,7
SAU,Asia,Saudi Arabia,5/4/2020,27011,1552,184,8
SAU,Asia,Saudi Arabia,5/5/2020,28656,1645,191,7
SAU,Asia,Saudi Arabia,5/6/2020,30251,1595,200,9
SAU,Asia,Saudi Arabia,5/7/2020,31938,1687,209,9
SAU,Asia,Saudi Arabia,5/8/2020,33731,1793,219,10
SAU,Asia,Saudi Arabia,5/9/2020,35432,1701,229,10
SAU,Asia,Saudi Arabia,5/10/2020,37136,1704,239,10
SAU,Asia,Saudi Arabia,5/11/2020,39048,1912,246,7
SAU,Asia,Saudi Arabia,5/12/2020,41014,1966,255,9
SAU,Asia,Saudi Arabia,5/13/2020,42925,1911,264,9
SAU,Asia,Saudi Arabia,5/14/2020,44830,1905,273,9
SAU,Asia,Saudi Arabia,5/15/2020,46869,2039,283,10
SAU,Asia,Saudi Arabia,5/16/2020,49176,2307,292,9
SAU,Asia,Saudi Arabia,5/17/2020,52016,2840,302,10
SAU,Asia,Saudi Arabia,5/18/2020,54752,2736,312,10
SAU,Asia,Saudi Arabia,5/19/2020,57345,2593,320,8
SAU,Asia,Saudi Arabia,5/20/2020,59854,2509,329,9
SAU,Asia,Saudi Arabia,5/21/2020,62545,2691,339,10
SAU,Asia,Saudi Arabia,5/22/2020,65077,2532,351,12
SAU,Asia,Saudi Arabia,5/23/2020,67719,2642,364,13
SAU,Asia,Saudi Arabia,5/24/2020,70161,2442,379,15
SAU,Asia,Saudi Arabia,5/25/2020,72560,2399,390,11
SAU,Asia,Saudi Arabia,5/26/2020,74795,2235,399,9
SAU,Asia,Saudi Arabia,5/27/2020,76726,1931,411,12
SAU,Asia,Saudi Arabia,5/28/2020,78541,1815,425,14
SAU,Asia,Saudi Arabia,5/29/2020,80185,1644,441,16
SAU,Asia,Saudi Arabia,5/30/2020,81766,1581,458,17
SAU,Asia,Saudi Arabia,5/31/2020,83384,1618,480,22
SAU,Asia,Saudi Arabia,6/1/2020,85261,1877,503,23
SAU,Asia,Saudi Arabia,6/2/2020,87142,1881,525,22
SAU,Asia,Saudi Arabia,6/3/2020,89011,1869,549,24
SAU,Asia,Saudi Arabia,6/4/2020,91182,2171,579,30
SAU,Asia,Saudi Arabia,6/5/2020,93157,1975,611,32
SAU,Asia,Saudi Arabia,6/6/2020,95748,2591,642,31
SAU,Asia,Saudi Arabia,6/7/2020,98869,3121,676,34
SAU,Asia,Saudi Arabia,6/8/2020,101914,3045,712,36
SAU,Asia,Saudi Arabia,6/9/2020,105283,3369,746,34
SAU,Asia,Saudi Arabia,6/10/2020,108571,3288,783,37
SAU,Asia,Saudi Arabia,6/11/2020,112288,3717,819,36
SAU,Asia,Saudi Arabia,6/12/2020,116021,3733,857,38
SAU,Asia,Saudi Arabia,6/13/2020,119942,3921,893,36
SAU,Asia,Saudi Arabia,6/14/2020,123308,3366,932,39
SAU,Asia,Saudi Arabia,6/15/2020,127541,4233,972,40
SAU,Asia,Saudi Arabia,6/16/2020,132048,4507,1011,39
SAU,Asia,Saudi Arabia,6/17/2020,136315,4267,1052,41
SAU,Asia,Saudi Arabia,6/18/2020,141234,4919,1091,39
SAU,Asia,Saudi Arabia,6/19/2020,145991,4757,1139,48
SAU,Asia,Saudi Arabia,6/20/2020,150292,4301,1184,45
SAU,Asia,Saudi Arabia,6/21/2020,154233,3941,1230,46
SAU,Asia,Saudi Arabia,6/22/2020,157612,3379,1267,37
SAU,Asia,Saudi Arabia,6/23/2020,161005,3393,1307,40
SAU,Asia,Saudi Arabia,6/24/2020,164144,3139,1346,39
SAU,Asia,Saudi Arabia,6/25/2020,167267,3123,1387,41
SAU,Asia,Saudi Arabia,6/26/2020,170639,3372,1428,41
SAU,Asia,Saudi Arabia,6/27/2020,174577,3938,1474,46
SAU,Asia,Saudi Arabia,6/28/2020,178504,3927,1511,37
SAU,Asia,Saudi Arabia,6/29/2020,182493,3989,1551,40
SAU,Asia,Saudi Arabia,6/30/2020,186436,3943,1599,48
SAU,Asia,Saudi Arabia,7/1/2020,190823,4387,1649,50
SAU,Asia,Saudi Arabia,7/2/2020,194225,3402,1698,49
SAU,Asia,Saudi Arabia,7/3/2020,197608,3383,1752,54
SAU,Asia,Saudi Arabia,7/4/2020,201801,4193,1802,50
SAU,Asia,Saudi Arabia,7/5/2020,205929,4128,1858,56
SAU,Asia,Saudi Arabia,7/6/2020,209509,3580,1916,58
SAU,Asia,Saudi Arabia,7/7/2020,213716,4207,1968,52
SAU,Asia,Saudi Arabia,7/8/2020,217108,3392,2017,49
SAU,Asia,Saudi Arabia,7/9/2020,220144,3036,2059,42
SAU,Asia,Saudi Arabia,7/10/2020,223327,3183,2100,41
SAU,Asia,Saudi Arabia,7/11/2020,226486,3159,2151,51
SAU,Asia,Saudi Arabia,7/12/2020,229480,2994,2181,30
SAU,Asia,Saudi Arabia,7/13/2020,232259,2779,2223,42
SAU,Asia,Saudi Arabia,7/14/2020,235111,2852,2243,20
SAU,Asia,Saudi Arabia,7/15/2020,237803,2692,2283,40
SAU,Asia,Saudi Arabia,7/16/2020,240474,2671,2325,42
SAU,Asia,Saudi Arabia,7/17/2020,243238,2764,2370,45
SAU,Asia,Saudi Arabia,7/18/2020,245851,2613,2407,37
SAU,Asia,Saudi Arabia,7/19/2020,248416,2565,2447,40
SAU,Asia,Saudi Arabia,7/20/2020,250920,2504,2486,39
SAU,Asia,Saudi Arabia,7/21/2020,253349,2429,2523,37
SAU,Asia,Saudi Arabia,7/22/2020,255825,2476,2557,34
SAU,Asia,Saudi Arabia,7/23/2020,258156,2331,2601,44
SAU,Asia,Saudi Arabia,7/24/2020,260394,2238,2635,34
SAU,Asia,Saudi Arabia,7/25/2020,262772,2378,2672,37
SAU,Asia,Saudi Arabia,7/26/2020,264973,2201,2703,31
SAU,Asia,Saudi Arabia,7/27/2020,266941,1968,2733,30
SAU,Asia,Saudi Arabia,7/28/2020,268934,1993,2760,27
SAU,Asia,Saudi Arabia,7/29/2020,270831,1897,2789,29
SAU,Asia,Saudi Arabia,7/30/2020,272590,1759,2816,27
SAU,Asia,Saudi Arabia,7/31/2020,274219,1629,2866,50
SAU,Asia,Saudi Arabia,8/1/2020,275905,1686,2866,0
SAU,Asia,Saudi Arabia,8/2/2020,277478,1573,2867,1
SAU,Asia,Saudi Arabia,8/3/2020,278835,1357,2917,50
SAU,Asia,Saudi Arabia,8/4/2020,280093,1258,2949,32
SAU,Asia,Saudi Arabia,8/5/2020,281435,1342,2984,35
SAU,Asia,Saudi Arabia,8/6/2020,282824,1389,3020,36
SAU,Asia,Saudi Arabia,8/7/2020,284226,1402,3055,35
SAU,Asia,Saudi Arabia,8/8/2020,285793,1567,3093,38
SAU,Asia,Saudi Arabia,8/9/2020,287262,1469,3130,37
SAU,Asia,Saudi Arabia,8/10/2020,288690,1428,3167,37
SAU,Asia,Saudi Arabia,8/11/2020,289947,1257,3199,32
SAU,Asia,Saudi Arabia,8/12/2020,291468,1521,3233,34
SAU,Asia,Saudi Arabia,8/13/2020,293037,1569,3269,36
